ACON, XLK
ADI, XLK
AEIS, XLK
ALKT, XLK
ALTR, XLK
AMKR, XLK
ASUR, XLK
ATOM, XLK
AULT, XLK
AVDX, XLK
AZPN, XLK
BEEM, XLK
BFRG, XLK
BKYI, XLK
BLIN, XLK
BLZE, XLK
BRZE, XLK
CNXN, XLK
CREX, XLK
CRUS, XLK
CTLP, XLK
CXAI, XLK
CYN, XLK
DMRC, XLK
DSP, XLK
DTST, XLK
DUOT, XLK
EGAN, XLK
EMAN, XLK
ERII, XLK
EZFL, XLK
FRSH, XLK
GMGI, XLK
GOOG, XLK
GOOGL, XLK
GROM, XLK
HCP, XLK
HCTI, XLK
HLIT, XLK
HOOD, XLK
IMMR, XLK
INOD, XLK
INTU, XLK
INVE, XLK
KIND, XLK
LPTH, XLK
MCHP, XLK
MGAM, XLK
MGRX, XLK
MITK, XLK
MRIN, XLK
MSGM, XLK
MSI, XLK
MSTR, XLK
MU, XLK
NFTG, XLK
NRDS, XLK
NSIT, XLK
NTWK, XLK
NUTX, XLK
OBLG, XLK
OPXS, XLK
PCTY, XLK
PCYG, XLK
POWI, XLK
PRFT, XLK
PTC, XLK
QLYS, XLK
QMCO, XLK
QUBT, XLK
RBBN, XLK
RCRT, XLK
RELY, XLK
RIOT, XLK
RUM, XLK
SCKT, XLK
SCPL, XLK
SLAB, XLK
SLNH, XLK
SLP, XLK
SOFO, XLK
SOPA, XLK
SOTK, XLK
SOUN, XLK
SSNT, XLK
TAIT, XLK
TENB, XLK
TGAN, XLK
TGL, XLK
TRNR, XLK
TXN, XLK
UCTT, XLK
USIO, XLK
UTRS, XLK
VICR, XLK
VOXX, XLK
VPG, XLK
VRSN, XLK
WAVD, XLK
WISA, XLK
WYY, XLK
XPON, XLK
XRX, XLK
ABIO, XLV
ABSI, XLV
ACER, XLV
ACGN, XLV
ACXP, XLV
AGEN, XLV
ALLR, XLV
ALNY, XLV
ALPN, XLV
ALRN, XLV
ALT, XLV
ALZN, XLV
AMGN, XLV
ANIX, XLV
AQST, XLV
ARAY, XLV
ARMP, XLV
ARTL, XLV
ARWR, XLV
ARYD, XLV
ATHX, XLV
ATRC, XLV
ATXS, XLV
AWH, XLV
AXLA, XLV
BBLG, XLV
BCDA, XLV
BIAF, XLV
BIOC, XLV
BIOR, XLV
BLFS, XLV
BLPH, XLV
BMRA, XLV
BNTC, XLV
BOLT, XLV
BRTX, XLV
BWV, XLV
CARM, XLV
CASI, XLV
CDMO, XLV
CDXC, XLV
CFMS, XLV
CGTX, XLV
CI, XLV
CING, XLV
CLRB, XLV
CMPX, XLV
CNMD, XLV
CNTX, XLV
COCP, XLV
COLL, XLV
COO, XLV
CORT, XLV
CPIX, XLV
CRDF, XLV
CRIS, XLV
CRMD, XLV
CTSO, XLV
CVKD, XLV
CVM, XLV
CVRX, XLV
CYCC, XLV
CYRX, XLV
CYTK, XLV
DCTH, XLV
DERM, XLV
DMAC, XLV
DRRX, XLV
DTOC, XLV
ECOR, XLV
EHC, XLV
ELEV, XLV
ELYM, XLV
EMBC, XLV
EQ, XLV
EVOK, XLV
EXEL, XLV
FEMY, XLV
FOLD, XLV
FRTX, XLV
GANX, XLV
GERN, XLV
GHSI, XLV
GNPX, XLV
GRPH, XLV
HAE, XLV
HALO, XLV
HCWB, XLV
HGEN, XLV
HPCO, XLV
HROW, XLV
HSCS, XLV
HSKA, XLV
IBRX, XLV
IKNA, XLV
IKT, XLV
INAB, XLV
INBS, XLV
INFI, XLV
INKT, XLV
INO, XLV
INSM, XLV
JAGX, XLV
KDNY, XLV
KIDS, XLV
KVSA, XLV
LBPH, XLV
LCTX, XLV
LFMD, XLV
LFVN, XLV
LGND, XLV
LGVN, XLV
LIAN, XLV
LIFE, XLV
LIPO, XLV
LIXT, XLV
LSTA, XLV
LUCD, XLV
LUCY, XLV
MBRX, XLV
MEIP, XLV
MIRM, XLV
MLSS, XLV
MNPR, XLV
MRKR, XLV
MTAC, XLV
MYO, XLV
NBY, XLV
NEPH, XLV
NHWK, XLV
NMTR, XLV
NOTV, XLV
NOVN, XLV
NTRB, XLV
NVNO, XLV
OCGN, XLV
OGEN, XLV
OMIC, XLV
ONCS, XLV
ONTX, XLV
OPGN, XLV
ORGO, XLV
ORGS, XLV
PAVM, XLV
PCSA, XLV
PDSB, XLV
PMGM, XLV
POCI, XLV
PROK, XLV
PTE, XLV
PULM, XLV
PXMD, XLV
PYXS, XLV
QDEL, XLV
QLGN, XLV
RAPT, XLV
RCLF, XLV
RIGL, XLV
RNXT, XLV
RSLS, XLV
